Player,Team,Pos,G,MP,PTS,AST,ORB,DRB,TRB,STL,BLK,TOV,PF,FG%,3P,3PA,3P%,eFG%,PER,TS%,USG%,OBPM,DBPM,BPM,VORP,Salary,PTS_36,AST_36,DRB_36,ORB_36,STL_36,BLK_36,TOV_36,PF_36,Per36Impact,Impact_Score,Is_Combined_Team_Row,Value,Value_Score,Impact_Rank,Value_Rank
Kevin Love,UTA,PF,37.0,16.6,6.7,1.8,1.5,4.3,5.8,0.4,0.2,0.8,1.5,0.397,1.4,3.8,0.373,0.53,14.7,0.568,16.6,1.1,-0.9,0.2,0.3,4150000.0,14.53012048192771,3.903614457831325,9.325301204819276,3.2530120481927707,0.8674698795180722,0.4337349397590361,1.7349397590361444,3.2530120481927707,42.36506024096386,45.15070305542169,False,0.02216360843570588,22.16360843570588,141.0,73.0
Malik Monk,SAC,SG,62.0,22.0,12.5,3.0,0.2,1.6,1.9,0.6,0.4,1.5,1.6,0.438,2.0,5.1,0.395,0.536,14.2,0.568,24.0,0.8,-2.1,-1.3,0.2,18797619.0,20.454545454545457,4.909090909090908,2.6181818181818186,0.3272727272727273,0.9818181818181818,0.6545454545454547,2.454545454545454,2.6181818181818186,41.36727272727273,45.03412101818182,False,0.01038700328864102,10.38700328864102,142.0,292.0
Isaiah Joe,OKC,SG,71.0,21.2,11.1,1.3,0.5,2.1,2.5,0.7,0.2,0.6,1.7,0.455,2.5,6.0,0.423,0.622,15.5,0.657,18.4,2.0,0.5,2.5,1.7,12362338.0,18.849056603773587,2.207547169811321,3.566037735849057,0.8490566037735849,1.1886792452830188,0.339622641509434,1.0188679245283019,2.8867924528301887,37.48584905660378,45.00072156367926,False,0.012798797587435932,12.798797587435931,143.0,224.0
Jakob Poeltl,TOR,C,46.0,25.0,10.7,2.0,2.5,4.5,7.0,0.9,0.7,1.2,3.2,0.7,0.0,0.0,0.0,0.7,18.1,0.698,15.3,0.2,1.4,1.6,1.0,19500000.0,15.408,2.88,6.4799999999999995,3.6,1.2960000000000003,1.008,1.728,4.6080000000000005,39.46319999999999,44.930418025199984,False,0.010174736092890066,10.174736092890065,144.0,296.0
Jeremiah Fears,NOP,PG,82.0,25.8,14.3,3.4,0.7,2.9,3.7,1.2,0.4,2.2,1.8,0.434,1.2,3.7,0.33,0.485,13.8,0.525,25.5,-1.4,-1.3,-2.7,-0.4,7520040.0,19.953488372093023,4.7441860465116275,4.046511627906977,0.9767441860465115,1.6744186046511627,0.5581395348837209,3.0697674418604652,2.511627906976744,42.96976744186046,44.91539280523255,False,0.01637891491326361,16.378914913263607,145.0,147.0
Jaylin Williams,OKC,PF,65.0,19.6,7.2,2.4,0.5,5.0,5.5,0.5,0.6,1.0,2.0,0.423,1.5,3.9,0.383,0.563,13.8,0.597,15.6,0.0,2.8,2.7,1.5,8450704.0,13.224489795918366,4.408163265306122,9.183673469387756,0.9183673469387754,0.9183673469387754,1.1020408163265305,1.8367346938775508,3.6734693877551017,38.543877551020415,44.88481650153062,False,0.015440203109258813,15.440203109258814,146.0,166.0
Bennedict Mathurin,2TM,SF,54.0,30.0,17.6,2.4,1.0,4.4,5.4,0.8,0.2,2.2,2.5,0.43,1.4,4.4,0.315,0.485,14.7,0.575,25.2,-1.1,-1.4,-2.5,-0.2,9187573.0,21.12,2.88,5.28,1.2,0.9600000000000001,0.24000000000000002,2.64,3.0,42.168000000000006,44.752160700000005,True,0.014764325359972503,14.764325359972503,147.0,181.0
Al Horford,GSW,C,45.0,21.5,8.3,2.6,1.0,3.9,4.9,0.7,1.1,0.9,1.1,0.426,1.6,4.6,0.361,0.54,14.7,0.554,16.5,0.3,1.3,1.6,0.9,5685000.0,13.897674418604652,4.3534883720930235,6.530232558139534,1.6744186046511627,1.172093023255814,1.8418604651162793,1.5069767441860464,1.8418604651162793,40.06883720930233,44.635659753488376,False,0.018720468959676644,18.720468959676644,148.0,112.0
Jock Landale,2TM,C,68.0,22.1,10.6,1.7,2.7,3.0,5.7,0.5,0.5,0.9,2.2,0.515,1.1,2.8,0.383,0.582,16.6,0.595,18.3,0.9,-1.0,-0.1,0.7,2296274.0,17.266968325791854,2.7692307692307687,4.886877828054298,4.398190045248868,0.8144796380090498,0.8144796380090498,1.4660633484162897,3.583710407239819,41.32669683257919,44.62163862217195,True,0.029446498529949044,29.446498529949043,149.0,29.0
Olivier-Maxence Prosper,MEM,PF,53.0,18.6,10.0,1.0,1.1,2.4,3.5,0.8,0.2,0.9,1.6,0.549,1.1,2.8,0.405,0.634,16.9,0.662,18.9,1.1,-1.2,-0.1,0.5,1002360.0,19.354838709677416,1.9354838709677418,4.64516129032258,2.129032258064516,1.5483870967741935,0.3870967741935484,1.7419354838709677,3.096774193548387,40.26774193548386,44.42858491451612,False,0.04437625179574153,44.376251795741524,150.0,5.0
