Player,Team,Pos,G,MP,PTS,AST,ORB,DRB,TRB,STL,BLK,TOV,PF,FG%,3P,3PA,3P%,eFG%,PER,TS%,USG%,OBPM,DBPM,BPM,VORP,Salary,PTS_36,AST_36,DRB_36,ORB_36,STL_36,BLK_36,TOV_36,PF_36,Per36Impact,Impact_Score,Is_Combined_Team_Row,Value,Value_Score,Impact_Rank,Value_Rank
Matisse Thybulle,POR,SG,30.0,16.0,5.8,0.9,0.6,1.4,2.0,2.0,0.5,0.9,1.4,0.433,1.2,3.1,0.398,0.571,14.5,0.6,14.7,-1.7,6.1,4.4,0.8,11550000.0,13.049999999999999,2.025,3.15,1.3499999999999999,4.5,1.125,2.025,3.15,32.36625,40.482608812500004,False,0.011911802929336553,11.911802929336552,178.0,248.0
Kevin Huerter,2TM,SF,69.0,22.4,10.0,2.6,0.5,3.0,3.5,0.9,0.5,1.0,1.7,0.451,1.4,4.7,0.308,0.535,13.2,0.552,18.8,-1.1,0.5,-0.6,0.6,17991071.0,16.071428571428573,4.178571428571429,4.821428571428571,0.8035714285714286,1.4464285714285716,0.8035714285714286,1.6071428571428572,2.7321428571428577,38.362500000000004,40.43344545000001,True,0.009532619135769957,9.532619135769957,179.0,320.0
Gui Santos,GSW,PF,68.0,20.5,9.2,2.3,1.1,2.8,3.9,0.9,0.3,1.5,2.1,0.5,1.1,3.3,0.351,0.585,14.2,0.609,18.7,-0.9,0.3,-0.6,0.5,2221677.0,16.15609756097561,4.0390243902439025,4.917073170731706,1.931707317073171,1.5804878048780489,0.526829268292683,2.6341463414634143,3.6878048780487807,37.808780487804874,40.3563079712195,False,0.027075156031889355,27.075156031889357,180.0,45.0
Clint Capela,HOU,C,75.0,12.3,3.8,0.7,2.1,2.5,4.6,0.5,0.8,0.5,1.0,0.52,0.0,0.0,0.5,0.522,17.9,0.54,13.7,-0.5,0.9,0.4,0.6,6700000.0,11.121951219512194,2.0487804878048776,7.317073170731707,6.146341463414633,1.4634146341463414,2.341463414634146,1.4634146341463414,2.926829268292683,38.91219512195122,40.350558365853665,False,0.015588780697899002,15.588780697899002,181.0,162.0
Kyle Kuzma,MIL,PF,69.0,26.2,13.0,2.7,0.8,3.7,4.5,0.7,0.4,1.7,1.9,0.492,1.2,3.5,0.347,0.552,14.1,0.581,21.8,-1.0,-1.3,-2.3,-0.1,22410605.0,17.862595419847327,3.7099236641221376,5.083969465648855,1.099236641221374,0.9618320610687022,0.549618320610687,2.33587786259542,2.610687022900763,39.208396946564896,40.31939213816795,False,0.008517010555889645,8.517010555889645,182.0,346.0
Jordan Miller,LAC,SF,60.0,22.1,10.0,2.3,0.8,2.2,3.0,0.8,0.2,1.1,1.0,0.531,0.6,1.8,0.345,0.579,15.9,0.628,18.0,0.6,-0.4,0.2,0.8,712637.0,16.289592760180994,3.7466063348416285,3.583710407239819,1.3031674208144794,1.3031674208144794,0.32579185520361986,1.7918552036199096,1.6289592760180995,36.74932126696832,40.30935355656108,False,0.04774981022199155,47.749810221991545,183.0,4.0
Collin Murray-Boyles,TOR,PF,57.0,21.9,8.5,1.9,2.3,2.7,5.0,0.9,0.9,1.0,2.6,0.579,0.3,0.9,0.34,0.604,16.4,0.621,15.5,-0.5,1.5,1.0,1.0,6332520.0,13.972602739726028,3.1232876712328768,4.4383561643835625,3.780821917808219,1.4794520547945207,1.4794520547945207,1.6438356164383563,4.273972602739726,36.59178082191781,40.30654409589041,False,0.016017225064415823,16.017225064415822,184.0,151.0
Dennis Schröder,2TM,PG,70.0,24.2,10.8,4.9,0.5,2.2,2.7,0.8,0.2,1.8,1.6,0.405,1.1,3.3,0.329,0.465,12.9,0.526,21.0,-0.9,-1.3,-2.2,-0.1,14104000.0,16.06611570247934,7.2892561983471085,3.2727272727272734,0.743801652892562,1.1900826446280992,0.2975206611570248,2.677685950413223,2.3801652892561984,39.75619834710745,40.169029710743814,True,0.010695970384502419,10.695970384502418,185.0,279.0
Peyton Watson,DEN,SF,54.0,29.6,14.6,2.1,0.9,4.0,4.9,0.9,1.1,1.7,2.5,0.491,1.5,3.6,0.411,0.56,14.3,0.594,20.6,-0.8,-0.5,-1.2,0.3,4356476.0,17.756756756756754,2.554054054054054,4.864864864864864,1.0945945945945945,1.0945945945945945,1.337837837837838,2.0675675675675675,3.0405405405405403,37.99459459459459,40.11822304864864,False,0.01922091356421396,19.22091356421396,186.0,106.0
Tyler Kolek,NYK,PG,62.0,11.7,4.4,2.7,0.3,1.3,1.6,0.4,0.1,0.9,1.0,0.435,0.7,1.8,0.386,0.524,12.5,0.533,18.4,-0.8,0.2,-0.6,0.3,2191897.0,13.53846153846154,8.307692307692308,4.0,0.923076923076923,1.2307692307692308,0.3076923076923077,2.769230769230769,3.076923076923077,38.26153846153847,39.977881592307696,False,0.02700285635993188,27.002856359931883,187.0,46.0
Precious Achiuwa,SAC,C,73.0,23.9,10.1,1.4,2.4,4.3,6.7,0.9,0.7,0.9,1.7,0.528,0.4,1.3,0.278,0.551,16.2,0.558,17.6,-0.5,-1.1,-1.6,0.2,2111516.0,15.213389121338912,2.1087866108786613,6.476987447698745,3.6150627615062763,1.3556485355648535,1.0543933054393306,1.3556485355648535,2.560669456066946,39.660251046025095,39.89872856736402,False,0.02745755537554042,27.45755537554042,188.0,41.0
Jaden Ivey,2TM,SG,37.0,18.1,8.5,1.8,0.6,1.8,2.5,0.6,0.4,1.1,1.4,0.445,1.4,3.6,0.373,0.543,13.0,0.571,19.7,-0.2,0.2,0.0,0.3,10107163.0,16.906077348066297,3.580110497237569,3.580110497237569,1.1933701657458564,1.1933701657458564,0.7955801104972375,2.187845303867403,2.784530386740331,36.5171270718232,39.867911264088384,True,0.012540326620538807,12.540326620538806,189.0,228.0
Jaxson Hayes,LAL,C,66.0,18.3,7.5,0.9,1.5,2.6,4.1,0.4,0.8,0.5,1.9,0.756,0.0,0.0,1.0,0.761,18.3,0.758,13.0,0.8,0.4,1.2,1.0,3449323.0,14.754098360655739,1.7704918032786885,5.114754098360655,2.9508196721311473,0.7868852459016393,1.5737704918032787,0.9836065573770492,3.7377049180327866,35.4983606557377,39.70195465573771,False,0.02137691138168605,21.37691138168605,190.0,80.0
Isaiah Jackson,2TM,C,55.0,16.5,6.7,0.9,2.1,3.2,5.3,0.7,0.9,1.1,2.7,0.637,0.0,0.1,0.0,0.637,17.3,0.653,16.2,-1.9,0.8,-1.2,0.2,7600000.0,14.618181818181819,1.9636363636363638,6.9818181818181815,4.581818181818182,1.5272727272727271,1.9636363636363638,2.4,5.890909090909091,38.4109090909091,39.68048388000001,True,0.014393624323906588,14.393624323906588,191.0,186.0
Miles McBride,NYK,SG,41.0,26.3,12.0,2.6,0.6,1.9,2.4,0.9,0.2,0.8,1.7,0.423,2.7,6.6,0.413,0.562,13.1,0.578,18.2,1.0,0.2,1.2,0.9,4333333.0,16.425855513307987,3.55893536121673,2.600760456273764,0.8212927756653992,1.231939163498099,0.2737642585551331,1.0950570342205324,2.326996197718631,35.1171102661597,39.653575966539925,False,0.01904896246652785,19.04896246652785,192.0,111.0
Klay Thompson,DAL,SF,69.0,21.7,11.7,1.4,0.3,1.8,2.1,0.5,0.3,0.9,1.0,0.393,2.9,7.6,0.383,0.532,11.4,0.541,22.7,0.2,-1.5,-1.4,0.2,16666667.0,19.410138248847925,2.32258064516129,2.986175115207373,0.49769585253456217,0.8294930875576038,0.49769585253456217,1.4930875576036866,1.6589861751152075,37.26082949308756,39.59449281013825,False,0.009698630303927291,9.698630303927292,193.0,313.0
Maxime Raynaud,SAC,C,74.0,26.5,12.5,1.4,1.9,5.6,7.5,0.5,0.5,1.3,2.3,0.571,0.3,1.0,0.324,0.589,16.0,0.619,18.2,-0.9,-1.6,-2.4,-0.2,1272870.0,16.9811320754717,1.90188679245283,7.60754716981132,2.581132075471698,0.6792452830188679,0.6792452830188679,1.7660377358490567,3.124528301886792,39.817358490566036,39.59127435169812,False,0.035091946251993966,35.09194625199397,194.0,12.0
Cam Whitmore,WAS,SF,21.0,16.9,9.2,0.7,0.9,1.9,2.8,0.7,0.4,0.9,1.2,0.456,0.8,2.7,0.286,0.503,13.7,0.528,23.7,-1.1,-2.1,-3.3,-0.1,3539760.0,19.597633136094675,1.4911242603550297,4.047337278106509,1.9171597633136097,1.4911242603550297,0.8520710059171599,1.9171597633136097,2.5562130177514795,39.48284023668639,39.49121845207101,False,0.020990057335745205,20.990057335745206,195.0,86.0
Quinten Post,GSW,PF,67.0,17.3,7.7,1.4,1.0,3.0,4.0,0.4,0.5,0.8,1.9,0.44,1.4,4.1,0.336,0.546,13.0,0.56,18.8,-1.0,-0.1,-1.1,0.3,1955377.0,16.023121387283236,2.9132947976878607,6.242774566473988,2.0809248554913293,0.8323699421965317,1.0404624277456647,1.6647398843930634,3.9537572254335256,38.101734104046244,39.481584000000005,False,0.028234449009394036,28.234449009394037,196.0,35.0
Jordan Poole,NOP,PG,39.0,23.9,13.4,3.1,0.2,1.7,2.0,0.6,0.4,1.8,2.3,0.372,2.5,7.4,0.333,0.48,11.5,0.53,25.1,-1.0,-2.6,-3.5,-0.4,31848215.0,20.184100418410043,4.669456066945607,2.560669456066946,0.301255230125523,0.9037656903765691,0.602510460251046,2.711297071129707,3.4644351464435146,39.42677824267782,39.419671537656896,False,0.006985065019176754,6.985065019176754,197.0,369.0
Moussa Diabaté,CHO,C,73.0,26.0,7.9,1.9,3.7,5.0,8.7,0.8,1.0,1.0,2.4,0.631,0.0,0.0,0.5,0.632,17.2,0.653,11.4,0.4,1.2,1.7,1.8,2270735.0,10.938461538461539,2.6307692307692303,6.923076923076923,5.123076923076923,1.1076923076923078,1.3846153846153846,1.3846153846153846,3.323076923076923,36.027692307692305,39.327411867692305,False,0.026098295218906047,26.098295218906046,198.0,52.0
P.J. Washington,DAL,PF,56.0,31.0,14.2,1.8,1.5,5.5,7.0,1.0,1.1,1.7,2.1,0.45,1.4,4.2,0.325,0.508,13.1,0.537,20.1,-1.7,0.1,-1.6,0.2,14152174.0,16.490322580645163,2.0903225806451613,6.387096774193549,1.7419354838709677,1.161290322580645,1.2774193548387096,1.9741935483870967,2.438709677419355,38.380645161290325,39.31963655322581,False,0.010451964236875019,10.45196423687502,199.0,290.0
Vince Williams Jr.,2TM,SG,40.0,20.5,7.5,4.2,1.0,2.9,3.9,0.7,0.4,1.8,2.0,0.353,1.4,4.4,0.311,0.447,10.7,0.478,19.5,-1.5,0.5,-1.0,0.2,2301587.0,13.170731707317072,7.375609756097561,5.0926829268292675,1.7560975609756098,1.2292682926829266,0.7024390243902439,3.1609756097560977,3.5121951219512195,38.1951219512195,39.19222353658535,True,0.02583367582772304,25.833675827723038,200.0,55.0
Devin Vassell,SAS,SG,67.0,30.5,13.9,2.5,0.6,3.4,4.0,0.9,0.4,0.9,1.6,0.437,2.5,6.4,0.384,0.547,13.0,0.574,18.0,0.1,0.3,0.5,1.3,27000000.0,16.40655737704918,2.9508196721311473,4.0131147540983605,0.7081967213114754,1.0622950819672132,0.4721311475409836,1.0622950819672132,1.8885245901639345,35.89377049180328,39.17880399344263,False,0.007539964344047229,7.539964344047228,201.0,359.0
Karlo Matković,NOP,PF,62.0,14.7,5.7,0.8,1.2,2.5,3.7,0.4,0.9,0.5,1.7,0.604,0.6,1.5,0.422,0.685,16.5,0.696,13.1,0.2,0.4,0.7,0.6,1955377.0,13.95918367346939,1.959183673469388,6.122448979591836,2.938775510204082,0.979591836734694,2.2040816326530615,1.2244897959183674,4.163265306122449,36.28163265306122,39.12611047346939,False,0.027980239371831923,27.980239371831924,202.0,36.0
Cole Anthony,MIL,PG,35.0,15.1,6.7,3.5,0.5,2.0,2.5,0.6,0.3,1.9,2.1,0.424,0.6,2.1,0.306,0.472,10.7,0.483,25.8,-3.9,-0.9,-4.7,-0.4,5996274.0,15.973509933774835,8.344370860927153,4.768211920529802,1.1920529801324504,1.4304635761589404,0.7152317880794702,4.529801324503311,5.006622516556292,40.79205298013245,38.93544479205299,False,0.01590026657428949,15.90026657428949,203.0,153.0
Buddy Hield,2TM,SG,51.0,16.1,7.6,1.4,0.5,1.7,2.3,0.8,0.2,0.9,1.1,0.437,1.5,4.2,0.349,0.55,12.8,0.568,20.3,-0.9,-0.1,-1.0,0.2,9219512.0,16.993788819875775,3.130434782608695,3.8012422360248443,1.1180124223602483,1.7888198757763973,0.44720496894409933,2.012422360248447,2.459627329192547,36.81614906832298,38.89563597763974,True,0.012809934526746483,12.809934526746483,204.0,223.0
Isaiah Stewart,DET,C,58.0,22.7,10.0,1.1,1.7,3.3,5.0,0.3,1.6,1.2,2.9,0.55,0.7,2.1,0.333,0.6,15.2,0.632,16.6,-1.1,1.1,0.0,0.7,15000000.0,15.859030837004406,1.7444933920704848,5.233480176211454,2.696035242290749,0.4757709251101322,2.537444933920705,1.9030837004405288,4.599118942731277,36.09515418502203,38.799691897797366,False,0.010018037370543202,10.018037370543203,205.0,302.0
Ryan Kalkbrenner,CHO,C,69.0,21.4,7.6,0.8,2.4,3.0,5.5,0.5,1.5,0.9,1.6,0.753,0.0,0.1,0.0,0.753,17.9,0.762,11.6,0.5,1.3,1.8,1.4,2296274.0,12.785046728971961,1.3457943925233646,5.046728971962617,4.037383177570093,0.8411214953271029,2.5233644859813085,1.5140186915887852,2.6915887850467293,34.2588785046729,38.78909057102804,False,0.025597511291534928,25.59751129153493,206.0,57.0
Myles Turner,MIL,C,71.0,26.9,11.9,1.5,1.1,4.3,5.3,0.7,1.6,1.2,2.6,0.44,2.1,5.4,0.383,0.553,14.2,0.584,18.6,-0.9,0.0,-0.9,0.5,25318251.0,15.92565055762082,2.0074349442379185,5.754646840148699,1.472118959107807,0.9368029739776952,2.1412639405204463,1.6059479553903344,3.479553903345725,36.8631970260223,38.59702463643122,False,0.007670734948781178,7.670734948781178,207.0,357.0
Julian Champagnie,SAS,SF,82.0,27.6,11.1,1.5,0.9,4.9,5.8,0.8,0.5,0.8,1.6,0.437,2.4,6.2,0.381,0.578,13.1,0.609,15.2,0.5,0.8,1.4,1.9,3000000.0,14.478260869565215,1.9565217391304348,6.391304347826088,1.1739130434782608,1.0434782608695652,0.6521739130434783,1.0434782608695652,2.0869565217391304,34.72826086956522,38.565898125,False,0.022266031664008434,22.266031664008434,208.0,72.0
Trayce Jackson-Davis,GSW,C,36.0,11.4,4.2,0.9,1.3,1.8,3.1,0.4,0.5,0.5,1.1,0.588,0.0,0.0,1.0,0.593,16.0,0.601,14.8,-1.0,0.6,-0.4,0.2,2221677.0,13.26315789473684,2.8421052631578947,5.684210526315789,4.105263157894736,1.263157894736842,1.5789473684210527,1.5789473684210527,3.473684210526316,37.310526315789474,38.50700950263158,False,0.025834456693826523,25.83445669382652,209.0,54.0
Bilal Coulibaly,WAS,SG,56.0,26.2,11.7,2.6,0.9,3.5,4.3,1.3,1.0,1.4,2.3,0.425,1.2,3.6,0.319,0.485,13.5,0.531,19.9,-1.7,-0.4,-2.1,-0.1,7275600.0,16.076335877862594,3.5725190839694663,4.809160305343512,1.2366412213740459,1.7862595419847331,1.3740458015267176,1.9236641221374045,3.16030534351145,38.37709923664122,38.42601274923664,False,0.01424593358670236,14.24593358670236,210.0,188.0
Moses Moody,GSW,SG,60.0,25.7,12.1,1.6,0.9,2.5,3.3,1.0,0.6,1.0,2.0,0.44,2.5,6.3,0.401,0.575,13.5,0.6,18.3,0.2,-0.3,-0.1,0.7,11574075.0,16.94941634241245,2.241245136186771,3.501945525291829,1.2607003891050583,1.4007782101167314,0.8404669260700389,1.4007782101167314,2.801556420233463,35.54474708171207,38.40360992217899,False,0.01128830937929448,11.28830937929448,211.0,263.0
Jaden McDaniels,MIN,PF,73.0,31.7,14.8,2.7,1.0,3.2,4.2,1.1,1.0,1.8,3.3,0.515,1.4,3.4,0.412,0.579,14.0,0.611,18.5,-0.9,0.6,-0.3,1.0,24393104.0,16.807570977917983,3.066246056782335,3.6340694006309153,1.135646687697161,1.2492113564668772,1.135646687697161,2.0441640378548898,3.7476340694006307,35.55709779179812,38.292880414826506,False,0.007753262745995583,7.753262745995583,212.0,356.0
Donte DiVincenzo,MIN,SG,82.0,30.4,12.2,3.8,0.8,3.3,4.1,1.3,0.4,1.4,2.4,0.406,3.0,7.9,0.379,0.552,12.5,0.567,16.9,0.0,0.7,0.8,1.7,11990000.0,14.44736842105263,4.5,3.9078947368421053,0.9473684210526316,1.5394736842105263,0.4736842105263158,1.657894736842105,2.8421052631578947,35.08223684210527,38.291311714638155,False,0.011058358172600792,11.058358172600792,213.0,271.0
Tyrese Proctor,CLE,PG,50.0,10.9,5.4,1.5,0.2,1.1,1.3,0.5,0.0,0.8,1.2,0.413,0.9,2.6,0.351,0.516,12.2,0.556,22.0,-2.3,-0.5,-2.8,-0.1,1272870.0,17.834862385321102,4.954128440366973,3.6330275229357802,0.6605504587155964,1.6513761467889907,0.0,2.6422018348623855,3.9633027522935778,38.08073394495414,38.13549434862387,False,0.03380160754834934,33.801607548349345,214.0,16.0
Danny Wolf,BRK,PF,57.0,20.8,8.9,2.2,1.0,3.9,4.9,0.5,0.6,1.3,2.2,0.405,1.2,3.7,0.322,0.482,12.3,0.521,20.6,-2.2,-0.3,-2.5,-0.2,2801280.0,15.403846153846153,3.8076923076923075,6.75,1.7307692307692306,0.8653846153846153,1.0384615384615383,2.25,3.8076923076923075,38.25865384615385,37.87327290000001,False,0.022628438026173658,22.628438026173658,215.0,70.0
Jabari Smith Jr.,HOU,PF,77.0,35.1,15.8,1.9,1.4,5.5,6.9,0.7,0.9,1.4,2.5,0.45,2.3,6.3,0.363,0.541,13.5,0.57,18.2,-0.5,-0.2,-0.7,0.9,12350392.0,16.205128205128204,1.9487179487179485,5.6410256410256405,1.4358974358974357,0.7179487179487178,0.923076923076923,1.4358974358974357,2.5641025641025643,35.95384615384615,37.63130492307692,False,0.010708013431567747,10.708013431567748,216.0,277.0
Sam Merrill,CLE,SG,52.0,26.5,12.8,2.4,0.5,2.0,2.6,0.6,0.1,0.8,2.4,0.461,3.0,7.2,0.421,0.624,13.6,0.644,17.0,1.0,-1.0,0.1,0.7,8482144.0,17.38867924528302,3.2603773584905658,2.7169811320754715,0.6792452830188679,0.8150943396226414,0.13584905660377358,1.0867924528301887,3.2603773584905658,34.75698113207547,37.61470012075471,False,0.01291530846661627,12.91530846661627,217.0,216.0
Alex Caruso,OKC,SG,56.0,18.2,6.2,2.0,0.5,2.3,2.8,1.3,0.3,0.9,1.2,0.423,0.9,3.2,0.293,0.512,12.8,0.54,15.7,-1.4,3.3,1.9,1.0,18102000.0,12.263736263736265,3.956043956043956,4.549450549450549,0.989010989010989,2.5714285714285716,0.5934065934065934,1.7802197802197803,2.3736263736263736,33.24065934065935,37.4949109945055,False,0.00881270122792087,8.81270122792087,218.0,338.0
Tim Hardaway Jr.,DEN,SG,80.0,26.6,13.5,1.4,0.2,2.4,2.6,0.5,0.1,0.5,1.3,0.447,2.8,6.9,0.407,0.591,13.5,0.624,18.5,1.3,-1.9,-0.7,0.7,2296274.0,18.27067669172932,1.894736842105263,3.2481203007518795,0.2706766917293233,0.6766917293233082,0.13533834586466165,0.6766917293233082,1.7593984962406015,35.06616541353383,37.42591615037594,False,0.024697931741942798,24.6979317419428,219.0,61.0
Javonte Green,DET,SG,82.0,17.6,6.9,0.7,0.8,2.0,2.8,1.2,0.3,0.5,1.3,0.447,1.1,3.0,0.381,0.56,14.1,0.607,14.8,-0.3,2.4,2.1,1.5,2296274.0,14.113636363636363,1.4318181818181817,4.090909090909091,1.6363636363636365,2.454545454545454,0.6136363636363635,1.0227272727272727,2.6590909090909087,32.625,37.3947170625,False,0.02467734298896011,24.67734298896011,220.0,62.0
Jarace Walker,IND,PF,76.0,25.7,11.6,2.5,0.6,4.5,5.1,0.8,0.3,1.8,1.6,0.419,1.8,4.7,0.374,0.51,11.5,0.543,20.7,-1.8,-0.7,-2.4,-0.2,6665520.0,16.249027237354085,3.501945525291829,6.3035019455252925,0.8404669260700389,1.1206225680933855,0.42023346303501946,2.5214007782101167,2.241245136186771,37.51284046692607,37.31859821089494,False,0.014454674092890172,14.454674092890173,221.0,185.0
Wendell Carter Jr.,ORL,C,78.0,29.3,11.8,2.0,2.1,5.3,7.4,0.8,0.6,1.3,3.4,0.512,0.9,2.9,0.319,0.568,14.1,0.617,15.6,-1.0,0.5,-0.6,0.8,10850000.0,14.498293515358363,2.4573378839590445,6.511945392491468,2.5802047781569963,0.9829351535836177,0.7372013651877133,1.5972696245733788,4.177474402730375,35.68668941979523,37.09842847474404,False,0.011262651443544462,11.262651443544462,222.0,264.0
Corey Kispert,2TM,SF,58.0,18.6,9.2,1.6,0.5,1.8,2.3,0.3,0.2,0.8,1.0,0.467,1.5,4.1,0.367,0.577,13.1,0.609,18.6,0.1,-2.0,-1.9,0.0,13975000.0,17.806451612903224,3.096774193548387,3.4838709677419355,0.9677419354838709,0.5806451612903225,0.3870967741935484,1.5483870967741935,1.9354838709677418,36.629032258064505,37.080443564516116,True,0.009919025627825408,9.919025627825407,223.0,304.0
Craig Porter Jr.,CLE,PG,64.0,17.9,4.5,3.2,1.3,2.1,3.4,0.9,0.6,0.9,1.1,0.45,0.5,1.5,0.355,0.514,13.7,0.524,12.3,0.0,1.9,2.0,1.2,2221677.0,9.050279329608939,6.435754189944135,4.223463687150838,2.6145251396648046,1.8100558659217878,1.2067039106145252,1.8100558659217878,2.2122905027932966,34.1195530726257,37.07747321899442,False,0.024875376939545574,24.875376939545575,224.0,60.0
Quentin Grimes,PHI,SG,75.0,29.4,13.4,3.3,0.6,3.0,3.6,0.9,0.4,1.8,2.1,0.45,1.7,5.1,0.334,0.534,12.9,0.585,19.0,-0.9,-0.6,-1.6,0.2,8741209.0,16.408163265306122,4.040816326530612,3.673469387755102,0.7346938775510204,1.1020408163265307,0.489795918367347,2.2040816326530615,2.5714285714285716,35.66938775510204,36.561860816326536,False,0.01236637861495193,12.36637861495193,225.0,232.0
Trendon Watford,PHI,PF,53.0,16.3,6.5,2.5,0.7,2.6,3.3,0.3,0.4,1.2,2.0,0.515,0.2,0.9,0.2,0.534,13.1,0.573,17.9,-2.2,0.2,-1.9,0.0,2461463.0,14.355828220858895,5.521472392638037,5.742331288343558,1.54601226993865,0.6625766871165644,0.8834355828220859,2.6503067484662575,4.41717791411043,36.85030674846626,36.55896090828221,False,0.023302214065488307,23.302214065488307,226.0,66.0
Pelle Larsson,MIA,SG,70.0,26.4,11.4,3.4,1.0,2.5,3.5,0.7,0.2,1.4,2.1,0.496,0.9,2.7,0.323,0.551,13.1,0.605,16.8,-1.2,0.0,-1.2,0.4,1955377.0,15.545454545454547,4.636363636363637,3.409090909090909,1.3636363636363638,0.9545454545454546,0.27272727272727276,1.9090909090909092,2.863636363636364,35.59772727272728,36.295708789772746,False,0.025956135374017756,25.956135374017755,227.0,53.0
Grant Williams,CHO,PF,36.0,19.8,7.0,1.6,1.3,2.7,3.9,0.5,0.5,0.9,1.6,0.426,1.4,3.7,0.388,0.568,12.9,0.609,14.1,0.6,1.0,1.6,0.7,13645500.0,12.727272727272727,2.909090909090909,4.90909090909091,2.3636363636363638,0.9090909090909091,0.9090909090909091,1.6363636363636365,2.909090909090909,32.35454545454545,36.13866482045454,False,0.009783119900059612,9.783119900059612,228.0,310.0
Asa Newell,ATL,PF,44.0,11.4,5.2,0.6,1.0,1.2,2.2,0.4,0.3,0.5,1.5,0.538,0.7,1.7,0.387,0.624,14.2,0.624,17.1,-1.0,-0.5,-1.5,0.1,3237480.0,16.421052631578945,1.894736842105263,3.789473684210526,3.1578947368421053,1.263157894736842,0.9473684210526315,1.5789473684210527,4.7368421052631575,35.494736842105254,36.01957338947368,False,0.02001866065430777,20.01866065430777,229.0,95.0
Duncan Robinson,DET,SF,77.0,27.4,12.2,2.1,0.4,2.3,2.7,0.6,0.3,0.7,2.2,0.456,2.9,7.0,0.41,0.613,12.4,0.629,15.8,0.9,-0.1,0.8,1.5,16834692.0,16.029197080291972,2.759124087591241,3.0218978102189777,0.5255474452554745,0.7883211678832117,0.39416058394160586,0.9197080291970803,2.89051094890511,32.65620437956204,36.00197825693431,False,0.00877452827361342,8.77452827361342,230.0,340.0
Tari Eason,HOU,PF,60.0,25.8,10.5,1.5,2.1,4.2,6.3,1.2,0.5,1.4,2.3,0.416,1.6,4.3,0.358,0.496,12.9,0.514,18.7,-1.8,0.2,-1.6,0.2,5675766.0,14.651162790697674,2.0930232558139537,5.86046511627907,2.930232558139535,1.6744186046511627,0.6976744186046512,1.953488372093023,3.209302325581395,35.97906976744187,35.97363876627907,False,0.015099832448250463,15.099832448250464,231.0,175.0
Marcus Sasser,DET,PG,38.0,12.0,5.2,2.0,0.2,0.8,1.0,0.5,0.1,0.8,1.1,0.39,1.2,2.8,0.415,0.514,11.2,0.533,19.6,-1.6,-0.2,-1.7,0.0,2886720.0,15.600000000000001,6.0,2.4,0.6,1.5,0.3,2.4,3.3000000000000003,35.76000000000001,35.948674920000016,False,0.021158289553639742,21.15828955363974,232.0,84.0
Pat Spencer,GSW,PG,66.0,18.6,7.2,3.5,0.8,1.6,2.4,0.7,0.1,1.3,1.1,0.427,0.9,2.5,0.357,0.495,12.1,0.516,18.9,-1.7,-0.6,-2.3,-0.1,857804.0,13.935483870967742,6.774193548387097,3.096774193548387,1.5483870967741935,1.354838709677419,0.1935483870967742,2.516129032258064,2.129032258064516,36.832258064516125,35.92850889677419,False,0.03879226697295476,38.79226697295476,233.0,6.0
De'Andre Hunter,2TM,SF,45.0,26.1,13.7,2.0,0.7,3.4,4.1,0.7,0.1,1.7,2.5,0.415,1.7,5.5,0.305,0.49,11.4,0.545,22.9,-2.5,-1.5,-3.9,-0.6,23303571.0,18.89655172413793,2.758620689655172,4.689655172413793,0.9655172413793103,0.9655172413793103,0.13793103448275862,2.3448275862068964,3.4482758620689653,37.47586206896551,35.90227667241379,True,0.007437222098208587,7.437222098208587,234.0,361.0
Caris LeVert,DET,SG,60.0,19.2,7.4,2.7,0.4,1.6,2.0,0.9,0.7,1.4,1.5,0.417,1.0,3.0,0.333,0.494,10.9,0.518,18.4,-1.8,1.5,-0.4,0.5,14104000.0,13.875,5.062500000000001,3.0000000000000004,0.7500000000000001,1.6875,1.3125,2.625,2.8125,33.89062500000001,35.62667198437501,False,0.00948645837819021,9.48645837819021,235.0,322.0
Jose Alvarado,2TM,PG,69.0,19.9,7.4,3.4,0.4,2.1,2.5,1.0,0.1,1.1,1.9,0.416,1.5,4.2,0.352,0.529,12.1,0.543,16.8,-1.3,0.3,-1.0,0.3,4500000.0,13.386934673366836,6.150753768844222,3.7989949748743723,0.7236180904522614,1.8090452261306533,0.18090452261306536,1.989949748743719,3.437185929648241,35.13165829145729,35.54259214673367,True,0.016754938618602073,16.754938618602072,236.0,141.0
Aaron Wiggins,OKC,SG,65.0,21.8,9.4,1.7,0.6,2.4,3.1,0.9,0.4,1.2,1.3,0.431,1.5,4.2,0.356,0.521,11.7,0.538,19.9,-1.7,0.7,-0.9,0.4,10102803.0,15.522935779816514,2.807339449541284,3.9633027522935778,0.9908256880733944,1.4862385321100917,0.6605504587155964,1.9816513761467889,2.146788990825688,34.08440366972477,35.48807106055045,False,0.011165070040586225,11.165070040586224,237.0,268.0
Kyle Anderson,3TM,SF,43.0,19.8,6.2,2.9,1.0,2.5,3.5,1.0,0.6,0.9,2.2,0.53,0.1,0.3,0.364,0.54,13.7,0.573,13.2,-1.3,1.7,0.4,0.5,9219512.0,11.272727272727273,5.2727272727272725,4.545454545454546,1.8181818181818181,1.8181818181818181,1.0909090909090908,1.6363636363636365,4.0,33.8909090909091,35.32027047272727,True,0.011632419443731872,11.632419443731871,238.0,253.0
