Player,Team,Pos,G,MP,PTS,AST,ORB,DRB,TRB,STL,BLK,TOV,PF,FG%,3P,3PA,3P%,eFG%,PER,TS%,USG%,OBPM,DBPM,BPM,VORP,Salary,PTS_36,AST_36,DRB_36,ORB_36,STL_36,BLK_36,TOV_36,PF_36,Per36Impact,Impact_Score,Is_Combined_Team_Row,Value,Value_Score,Impact_Rank,Value_Rank,PLAYER_ID,HeadshotURL
Clint Capela,HOU,C,75.0,12.3,3.8,0.7,2.1,2.5,4.6,0.5,0.8,0.5,1.0,0.52,0.0,0.0,0.5,0.522,17.9,0.54,13.7,-0.5,0.9,0.4,0.6,6700000.0,11.121951219512194,2.0487804878048776,7.317073170731707,6.146341463414633,1.4634146341463414,2.341463414634146,1.4634146341463414,2.926829268292683,38.91219512195122,40.35055836585367,False,0.015588780697899,15.588780697899002,181.0,162.0,203991.0,https://cdn.nba.com/headshots/nba/latest/1040x760/203991.png
Kyle Kuzma,MIL,PF,69.0,26.2,13.0,2.7,0.8,3.7,4.5,0.7,0.4,1.7,1.9,0.492,1.2,3.5,0.347,0.552,14.1,0.581,21.8,-1.0,-1.3,-2.3,-0.1,22410605.0,17.862595419847327,3.7099236641221376,5.083969465648855,1.099236641221374,0.9618320610687022,0.549618320610687,2.33587786259542,2.610687022900763,39.208396946564896,40.31939213816795,False,0.0085170105558896,8.517010555889645,182.0,346.0,1628398.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1628398.png
Jordan Miller,LAC,SF,60.0,22.1,10.0,2.3,0.8,2.2,3.0,0.8,0.2,1.1,1.0,0.531,0.6,1.8,0.345,0.579,15.9,0.628,18.0,0.6,-0.4,0.2,0.8,712637.0,16.289592760180994,3.746606334841629,3.583710407239819,1.3031674208144794,1.3031674208144794,0.3257918552036198,1.7918552036199096,1.6289592760180995,36.74932126696832,40.30935355656108,False,0.0477498102219915,47.749810221991545,183.0,4.0,1641757.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1641757.png
Collin Murray-Boyles,TOR,PF,57.0,21.9,8.5,1.9,2.3,2.7,5.0,0.9,0.9,1.0,2.6,0.579,0.3,0.9,0.34,0.604,16.4,0.621,15.5,-0.5,1.5,1.0,1.0,6332520.0,13.972602739726028,3.1232876712328768,4.4383561643835625,3.780821917808219,1.479452054794521,1.479452054794521,1.6438356164383563,4.273972602739726,36.59178082191781,40.30654409589041,False,0.0160172250644158,16.017225064415822,184.0,151.0,1642867.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1642867.png
Dennis Schröder,2TM,PG,70.0,24.2,10.8,4.9,0.5,2.2,2.7,0.8,0.2,1.8,1.6,0.405,1.1,3.3,0.329,0.465,12.9,0.526,21.0,-0.9,-1.3,-2.2,-0.1,14104000.0,16.06611570247934,7.289256198347108,3.2727272727272734,0.743801652892562,1.1900826446280992,0.2975206611570248,2.677685950413223,2.3801652892561984,39.75619834710745,40.16902971074381,True,0.0106959703845024,10.695970384502418,185.0,279.0,203471.0,https://cdn.nba.com/headshots/nba/latest/1040x760/203471.png
Peyton Watson,DEN,SF,54.0,29.6,14.6,2.1,0.9,4.0,4.9,0.9,1.1,1.7,2.5,0.491,1.5,3.6,0.411,0.56,14.3,0.594,20.6,-0.8,-0.5,-1.2,0.3,4356476.0,17.756756756756754,2.554054054054054,4.864864864864864,1.0945945945945943,1.0945945945945943,1.337837837837838,2.0675675675675675,3.0405405405405403,37.99459459459459,40.11822304864864,False,0.0192209135642139,19.22091356421396,186.0,106.0,1631212.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1631212.png
Tyler Kolek,NYK,PG,62.0,11.7,4.4,2.7,0.3,1.3,1.6,0.4,0.1,0.9,1.0,0.435,0.7,1.8,0.386,0.524,12.5,0.533,18.4,-0.8,0.2,-0.6,0.3,2191897.0,13.53846153846154,8.307692307692308,4.0,0.923076923076923,1.2307692307692308,0.3076923076923077,2.769230769230769,3.076923076923077,38.26153846153847,39.977881592307696,False,0.0270028563599318,27.002856359931883,187.0,46.0,1642278.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1642278.png
Precious Achiuwa,SAC,C,73.0,23.9,10.1,1.4,2.4,4.3,6.7,0.9,0.7,0.9,1.7,0.528,0.4,1.3,0.278,0.551,16.2,0.558,17.6,-0.5,-1.1,-1.6,0.2,2111516.0,15.213389121338912,2.1087866108786613,6.476987447698745,3.615062761506276,1.3556485355648535,1.0543933054393306,1.3556485355648535,2.560669456066946,39.660251046025095,39.89872856736402,False,0.0274575553755404,27.45755537554042,188.0,41.0,1630173.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1630173.png
Jaden Ivey,2TM,SG,37.0,18.1,8.5,1.8,0.6,1.8,2.5,0.6,0.4,1.1,1.4,0.445,1.4,3.6,0.373,0.543,13.0,0.571,19.7,-0.2,0.2,0.0,0.3,10107163.0,16.906077348066297,3.580110497237569,3.580110497237569,1.1933701657458564,1.1933701657458564,0.7955801104972375,2.187845303867403,2.784530386740331,36.5171270718232,39.867911264088384,True,0.0125403266205388,12.540326620538806,189.0,228.0,1631093.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1631093.png
Jaxson Hayes,LAL,C,66.0,18.3,7.5,0.9,1.5,2.6,4.1,0.4,0.8,0.5,1.9,0.756,0.0,0.0,1.0,0.761,18.3,0.758,13.0,0.8,0.4,1.2,1.0,3449323.0,14.75409836065574,1.7704918032786885,5.114754098360655,2.9508196721311477,0.7868852459016393,1.5737704918032789,0.9836065573770492,3.7377049180327866,35.4983606557377,39.70195465573771,False,0.021376911381686,21.37691138168605,190.0,80.0,1629637.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1629637.png
