Player,Team,Pos,G,MP,PTS,AST,ORB,DRB,TRB,STL,BLK,TOV,PF,FG%,3P,3PA,3P%,eFG%,PER,TS%,USG%,OBPM,DBPM,BPM,VORP,Salary,PTS_36,AST_36,DRB_36,ORB_36,STL_36,BLK_36,TOV_36,PF_36,Per36Impact,Impact_Score,Is_Combined_Team_Row,Value,Value_Score,Impact_Rank,Value_Rank,PLAYER_ID,HeadshotURL
Tim Hardaway Jr.,DEN,SG,80.0,26.6,13.5,1.4,0.2,2.4,2.6,0.5,0.1,0.5,1.3,0.447,2.8,6.9,0.407,0.591,13.5,0.624,18.5,1.3,-1.9,-0.7,0.7,2296274.0,18.27067669172932,1.894736842105263,3.2481203007518795,0.2706766917293233,0.6766917293233082,0.1353383458646616,0.6766917293233082,1.7593984962406015,35.06616541353383,37.42591615037594,False,0.0246979317419427,24.6979317419428,219.0,61.0,203501.0,https://cdn.nba.com/headshots/nba/latest/1040x760/203501.png
Javonte Green,DET,SG,82.0,17.6,6.9,0.7,0.8,2.0,2.8,1.2,0.3,0.5,1.3,0.447,1.1,3.0,0.381,0.56,14.1,0.607,14.8,-0.3,2.4,2.1,1.5,2296274.0,14.113636363636363,1.4318181818181817,4.090909090909091,1.6363636363636365,2.454545454545454,0.6136363636363635,1.0227272727272727,2.6590909090909087,32.625,37.3947170625,False,0.0246773429889601,24.67734298896011,220.0,62.0,1629750.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1629750.png
Jarace Walker,IND,PF,76.0,25.7,11.6,2.5,0.6,4.5,5.1,0.8,0.3,1.8,1.6,0.419,1.8,4.7,0.374,0.51,11.5,0.543,20.7,-1.8,-0.7,-2.4,-0.2,6665520.0,16.249027237354085,3.501945525291829,6.3035019455252925,0.8404669260700389,1.1206225680933857,0.4202334630350194,2.5214007782101167,2.241245136186771,37.51284046692607,37.31859821089494,False,0.0144546740928901,14.454674092890173,221.0,185.0,1641716.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1641716.png
Wendell Carter Jr.,ORL,C,78.0,29.3,11.8,2.0,2.1,5.3,7.4,0.8,0.6,1.3,3.4,0.512,0.9,2.9,0.319,0.568,14.1,0.617,15.6,-1.0,0.5,-0.6,0.8,10850000.0,14.498293515358364,2.4573378839590445,6.511945392491468,2.5802047781569963,0.9829351535836176,0.7372013651877133,1.5972696245733788,4.177474402730375,35.68668941979523,37.09842847474404,False,0.0112626514435444,11.262651443544462,222.0,264.0,1628976.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1628976.png
Corey Kispert,2TM,SF,58.0,18.6,9.2,1.6,0.5,1.8,2.3,0.3,0.2,0.8,1.0,0.467,1.5,4.1,0.367,0.577,13.1,0.609,18.6,0.1,-2.0,-1.9,0.0,13975000.0,17.806451612903224,3.096774193548387,3.4838709677419355,0.9677419354838708,0.5806451612903225,0.3870967741935484,1.5483870967741935,1.9354838709677415,36.629032258064505,37.08044356451612,True,0.0099190256278254,9.919025627825407,223.0,304.0,1630557.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1630557.png
Craig Porter Jr.,CLE,PG,64.0,17.9,4.5,3.2,1.3,2.1,3.4,0.9,0.6,0.9,1.1,0.45,0.5,1.5,0.355,0.514,13.7,0.524,12.3,0.0,1.9,2.0,1.2,2221677.0,9.05027932960894,6.435754189944135,4.223463687150838,2.6145251396648046,1.810055865921788,1.2067039106145252,1.810055865921788,2.2122905027932966,34.1195530726257,37.07747321899442,False,0.0248753769395455,24.87537693954557,224.0,60.0,1641854.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1641854.png
Quentin Grimes,PHI,SG,75.0,29.4,13.4,3.3,0.6,3.0,3.6,0.9,0.4,1.8,2.1,0.45,1.7,5.1,0.334,0.534,12.9,0.585,19.0,-0.9,-0.6,-1.6,0.2,8741209.0,16.408163265306122,4.040816326530612,3.673469387755102,0.7346938775510204,1.1020408163265307,0.489795918367347,2.204081632653061,2.571428571428572,35.66938775510204,36.561860816326536,False,0.0123663786149519,12.36637861495193,225.0,232.0,1629656.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1629656.png
Trendon Watford,PHI,PF,53.0,16.3,6.5,2.5,0.7,2.6,3.3,0.3,0.4,1.2,2.0,0.515,0.2,0.9,0.2,0.534,13.1,0.573,17.9,-2.2,0.2,-1.9,0.0,2461463.0,14.355828220858896,5.521472392638037,5.742331288343558,1.54601226993865,0.6625766871165644,0.8834355828220859,2.650306748466257,4.41717791411043,36.85030674846626,36.55896090828221,False,0.0233022140654883,23.302214065488307,226.0,66.0,1630570.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1630570.png
Pelle Larsson,MIA,SG,70.0,26.4,11.4,3.4,1.0,2.5,3.5,0.7,0.2,1.4,2.1,0.496,0.9,2.7,0.323,0.551,13.1,0.605,16.8,-1.2,0.0,-1.2,0.4,1955377.0,15.545454545454549,4.636363636363637,3.409090909090909,1.3636363636363638,0.9545454545454546,0.2727272727272727,1.9090909090909087,2.863636363636364,35.59772727272728,36.295708789772746,False,0.0259561353740177,25.956135374017755,227.0,53.0,1641796.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1641796.png
Grant Williams,CHO,PF,36.0,19.8,7.0,1.6,1.3,2.7,3.9,0.5,0.5,0.9,1.6,0.426,1.4,3.7,0.388,0.568,12.9,0.609,14.1,0.6,1.0,1.6,0.7,13645500.0,12.727272727272728,2.909090909090909,4.90909090909091,2.363636363636364,0.9090909090909092,0.9090909090909092,1.6363636363636365,2.909090909090909,32.35454545454545,36.13866482045454,False,0.0097831199000596,9.783119900059612,228.0,310.0,1629684.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1629684.png
Asa Newell,ATL,PF,44.0,11.4,5.2,0.6,1.0,1.2,2.2,0.4,0.3,0.5,1.5,0.538,0.7,1.7,0.387,0.624,14.2,0.624,17.1,-1.0,-0.5,-1.5,0.1,3237480.0,16.421052631578945,1.894736842105263,3.789473684210526,3.1578947368421053,1.263157894736842,0.9473684210526316,1.5789473684210529,4.7368421052631575,35.494736842105254,36.01957338947368,False,0.0200186606543077,20.01866065430777,229.0,95.0,1642854.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1642854.png
Duncan Robinson,DET,SF,77.0,27.4,12.2,2.1,0.4,2.3,2.7,0.6,0.3,0.7,2.2,0.456,2.9,7.0,0.41,0.613,12.4,0.629,15.8,0.9,-0.1,0.8,1.5,16834692.0,16.029197080291972,2.759124087591241,3.0218978102189777,0.5255474452554745,0.7883211678832117,0.3941605839416058,0.9197080291970804,2.89051094890511,32.65620437956204,36.00197825693431,False,0.0087745282736134,8.77452827361342,230.0,340.0,1629130.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1629130.png
Tari Eason,HOU,PF,60.0,25.8,10.5,1.5,2.1,4.2,6.3,1.2,0.5,1.4,2.3,0.416,1.6,4.3,0.358,0.496,12.9,0.514,18.7,-1.8,0.2,-1.6,0.2,5675766.0,14.651162790697674,2.0930232558139537,5.86046511627907,2.930232558139535,1.6744186046511629,0.6976744186046512,1.953488372093023,3.209302325581395,35.97906976744187,35.97363876627907,False,0.0150998324482504,15.099832448250464,231.0,175.0,1631106.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1631106.png
Marcus Sasser,DET,PG,38.0,12.0,5.2,2.0,0.2,0.8,1.0,0.5,0.1,0.8,1.1,0.39,1.2,2.8,0.415,0.514,11.2,0.533,19.6,-1.6,-0.2,-1.7,0.0,2886720.0,15.6,6.0,2.4,0.6,1.5,0.3,2.4,3.3000000000000003,35.76000000000001,35.948674920000016,False,0.0211582895536397,21.15828955363974,232.0,84.0,1631204.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1631204.png
Pat Spencer,GSW,PG,66.0,18.6,7.2,3.5,0.8,1.6,2.4,0.7,0.1,1.3,1.1,0.427,0.9,2.5,0.357,0.495,12.1,0.516,18.9,-1.7,-0.6,-2.3,-0.1,857804.0,13.935483870967742,6.774193548387097,3.096774193548387,1.5483870967741935,1.354838709677419,0.1935483870967742,2.516129032258064,2.129032258064516,36.832258064516125,35.92850889677419,False,0.0387922669729547,38.79226697295476,233.0,6.0,1630311.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1630311.png
De'Andre Hunter,2TM,SF,45.0,26.1,13.7,2.0,0.7,3.4,4.1,0.7,0.1,1.7,2.5,0.415,1.7,5.5,0.305,0.49,11.4,0.545,22.9,-2.5,-1.5,-3.9,-0.6,23303571.0,18.89655172413793,2.758620689655172,4.689655172413793,0.9655172413793104,0.9655172413793104,0.1379310344827586,2.3448275862068964,3.4482758620689653,37.47586206896551,35.90227667241379,True,0.0074372220982085,7.437222098208587,234.0,361.0,1629631.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1629631.png
Caris LeVert,DET,SG,60.0,19.2,7.4,2.7,0.4,1.6,2.0,0.9,0.7,1.4,1.5,0.417,1.0,3.0,0.333,0.494,10.9,0.518,18.4,-1.8,1.5,-0.4,0.5,14104000.0,13.875,5.062500000000001,3.0000000000000004,0.7500000000000001,1.6875,1.3125,2.625,2.8125,33.89062500000001,35.62667198437501,False,0.0094864583781902,9.48645837819021,235.0,322.0,1627747.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1627747.png
Jose Alvarado,2TM,PG,69.0,19.9,7.4,3.4,0.4,2.1,2.5,1.0,0.1,1.1,1.9,0.416,1.5,4.2,0.352,0.529,12.1,0.543,16.8,-1.3,0.3,-1.0,0.3,4500000.0,13.386934673366836,6.150753768844222,3.798994974874372,0.7236180904522614,1.809045226130653,0.1809045226130653,1.989949748743719,3.437185929648241,35.13165829145729,35.54259214673367,True,0.016754938618602,16.754938618602072,236.0,141.0,1630631.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1630631.png
Aaron Wiggins,OKC,SG,65.0,21.8,9.4,1.7,0.6,2.4,3.1,0.9,0.4,1.2,1.3,0.431,1.5,4.2,0.356,0.521,11.7,0.538,19.9,-1.7,0.7,-0.9,0.4,10102803.0,15.522935779816514,2.807339449541284,3.9633027522935778,0.9908256880733944,1.4862385321100915,0.6605504587155964,1.9816513761467889,2.146788990825688,34.08440366972477,35.48807106055045,False,0.0111650700405862,11.165070040586224,237.0,268.0,1630598.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1630598.png
Kyle Anderson,3TM,SF,43.0,19.8,6.2,2.9,1.0,2.5,3.5,1.0,0.6,0.9,2.2,0.53,0.1,0.3,0.364,0.54,13.7,0.573,13.2,-1.3,1.7,0.4,0.5,9219512.0,11.272727272727272,5.2727272727272725,4.545454545454546,1.818181818181818,1.818181818181818,1.0909090909090908,1.6363636363636365,4.0,33.8909090909091,35.32027047272727,True,0.0116324194437318,11.632419443731871,238.0,253.0,203937.0,https://cdn.nba.com/headshots/nba/latest/1040x760/203937.png
Nikola Jović,MIA,PF,47.0,17.2,7.3,2.2,0.5,2.7,3.3,0.6,0.4,1.4,1.4,0.366,1.0,3.6,0.269,0.438,9.5,0.48,21.4,-3.5,-0.1,-3.5,-0.3,4445417.0,15.27906976744186,4.604651162790698,5.651162790697676,1.0465116279069768,1.255813953488372,0.8372093023255816,2.9302325581395348,2.9302325581395348,37.20348837209304,34.97620186046514,False,0.0165888543383905,16.588854338390508,239.0,146.0,1631107.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1631107.png
Kelly Oubre Jr.,PHI,SF,50.0,31.5,14.1,1.6,1.0,4.0,5.0,1.4,0.5,1.4,2.5,0.467,1.7,4.8,0.36,0.546,13.0,0.58,18.2,-1.3,-0.1,-1.4,0.2,8382150.0,16.114285714285714,1.8285714285714283,4.571428571428571,1.1428571428571428,1.6,0.5714285714285714,1.6,2.8571428571428568,34.308571428571426,34.89973577142857,False,0.0120543674197534,12.05436741975346,240.0,239.0,1626162.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1626162.png
Julian Strawther,DEN,SG,57.0,15.1,7.2,1.1,0.2,1.8,2.0,0.4,0.1,0.6,1.3,0.467,1.0,2.6,0.387,0.558,12.5,0.59,19.4,-1.2,-1.1,-2.3,-0.1,2674200.0,17.165562913907287,2.6225165562913912,4.291390728476822,0.4768211920529802,0.9536423841059604,0.2384105960264901,1.4304635761589404,3.099337748344371,34.90331125827815,34.71991215894041,False,0.0212315487635502,21.231548763550247,241.0,83.0,1631124.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1631124.png
Yanic Konan Niederhäuser,LAC,C,41.0,10.3,4.3,0.3,0.9,2.0,2.9,0.1,0.7,0.6,1.6,0.64,0.0,0.1,0.2,0.645,16.4,0.691,15.7,-2.6,0.4,-2.2,0.0,2743800.0,15.029126213592232,1.0485436893203883,6.990291262135922,3.145631067961165,0.3495145631067961,2.4466019417475726,2.0970873786407767,5.592233009708737,35.16116504854368,34.683173784466014,False,0.0209383572817366,20.938357281736643,242.0,87.0,1642949.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1642949.png
Jaden Hardy,2TM,SG,57.0,15.8,9.2,1.0,0.3,1.2,1.5,0.3,0.1,1.1,1.6,0.424,1.8,4.6,0.397,0.545,10.9,0.566,24.4,-1.5,-3.3,-4.8,-0.6,6000000.0,20.96202531645569,2.278481012658228,2.734177215189873,0.6835443037974682,0.6835443037974682,0.2278481012658227,2.5063291139240507,3.645569620253165,36.53544303797467,34.428520332911376,True,0.0140553845691114,14.055384569111418,243.0,190.0,1630702.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1630702.png
Egor Dёmin,BRK,PG,52.0,25.2,10.3,3.3,0.4,2.8,3.2,0.8,0.3,1.7,1.8,0.399,2.4,6.2,0.385,0.537,11.3,0.561,18.8,-0.9,-0.7,-1.6,0.1,6889200.0,14.714285714285715,4.714285714285714,4.0,0.5714285714285715,1.142857142857143,0.4285714285714285,2.4285714285714284,2.571428571428572,34.1,34.420480950000005,False,0.0131139202387365,13.113920238736554,244.0,210.0,,
Jared McCain,2TM,SG,67.0,17.3,8.3,1.3,0.3,1.7,2.0,0.5,0.1,0.8,1.2,0.425,1.5,3.8,0.385,0.528,11.6,0.551,20.7,-1.6,-0.8,-2.4,-0.1,4221360.0,17.271676300578036,2.7052023121387285,3.53757225433526,0.6242774566473988,1.0404624277456649,0.2080924855491329,1.6647398843930634,2.497109826589595,34.64739884393064,34.404792424855486,True,0.0167452928324359,16.745292832435975,245.0,142.0,1642272.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1642272.png
Tidjane Salaün,CHO,PF,37.0,15.5,6.0,0.7,0.7,3.3,4.0,0.4,0.2,0.7,1.5,0.503,1.0,2.2,0.434,0.616,12.9,0.629,14.9,-1.2,0.4,-0.8,0.2,7863240.0,13.935483870967742,1.6258064516129032,7.664516129032258,1.6258064516129032,0.9290322580645162,0.4645161290322581,1.6258064516129032,3.4838709677419355,33.468387096774194,34.14906780580646,False,0.0121780593774825,12.17805937748254,246.0,237.0,1642275.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1642275.png
Davion Mitchell,MIA,PG,70.0,28.6,9.3,6.5,0.5,2.2,2.7,1.0,0.2,1.5,2.6,0.49,1.3,3.3,0.395,0.574,12.1,0.582,13.6,-1.3,0.4,-0.9,0.6,11600000.0,11.706293706293708,8.181818181818182,2.769230769230769,0.6293706293706293,1.2587412587412583,0.2517482517482518,1.888111888111888,3.272727272727273,34.2944055944056,34.00283383426574,False,0.0099835757741397,9.98357577413976,247.0,303.0,1630558.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1630558.png
Ron Holland,DET,SF,78.0,19.9,8.2,1.2,1.1,3.0,4.0,1.2,0.3,1.2,2.3,0.432,0.6,2.5,0.253,0.478,11.7,0.525,18.9,-3.3,1.4,-2.0,0.0,8657280.0,14.834170854271356,2.170854271356784,5.42713567839196,1.989949748743719,2.170854271356784,0.542713567839196,2.170854271356784,4.160804020100502,34.29045226130653,33.89114802135677,False,0.0115184899648419,11.518489964841946,248.0,256.0,1641842.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1641842.png
Ace Bailey,UTA,SF,72.0,27.6,13.8,1.8,1.4,2.8,4.2,0.8,0.7,1.5,2.7,0.443,1.9,5.5,0.344,0.52,11.6,0.533,21.4,-1.9,-2.5,-4.4,-1.2,9069840.0,18.0,2.347826086956521,3.652173913043478,1.826086956521739,1.0434782608695652,0.9130434782608696,1.9565217391304348,3.5217391304347827,36.75652173913043,33.80931135652173,False,0.0112262965976662,11.226296597666286,249.0,265.0,1642846.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1642846.png
Steven Adams,HOU,C,32.0,22.8,5.8,1.5,4.5,4.1,8.6,0.7,0.6,1.1,1.7,0.504,0.0,0.0,0.0,0.504,15.8,0.535,12.1,-0.1,-0.3,-0.5,0.3,14130434.0,9.157894736842104,2.3684210526315788,6.473684210526315,7.105263157894737,1.1052631578947367,0.9473684210526316,1.736842105263158,2.6842105263157894,34.23947368421053,33.7685992993421,False,0.0089832874437093,8.98328744370932,250.0,335.0,203500.0,https://cdn.nba.com/headshots/nba/latest/1040x760/203500.png
Draymond Green,GSW,PF,68.0,27.5,8.4,5.5,0.8,4.7,5.5,0.9,0.6,2.7,2.9,0.418,1.5,4.6,0.326,0.52,10.4,0.54,16.1,-2.4,1.0,-1.4,0.3,25892857.0,10.996363636363638,7.2,6.152727272727273,1.0472727272727274,1.1781818181818182,0.7854545454545454,3.5345454545454547,3.796363636363637,34.26545454545455,33.75485765454546,False,0.0066335543916768,6.633554391676816,251.0,372.0,203110.0,https://cdn.nba.com/headshots/nba/latest/1040x760/203110.png
Royce O'Neale,PHO,SF,78.0,28.4,9.8,2.7,0.8,4.0,4.8,1.1,0.4,1.3,2.3,0.421,2.7,6.7,0.408,0.59,11.6,0.596,14.3,-0.3,1.0,0.7,1.5,10125000.0,12.422535211267608,3.422535211267606,5.070422535211268,1.0140845070422535,1.3943661971830987,0.5070422535211269,1.647887323943662,2.915492957746479,31.35422535211268,33.71034831760563,False,0.0105941403962397,10.594140396239762,252.0,283.0,1626220.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1626220.png
Luke Kennard,2TM,SG,78.0,21.6,8.4,2.2,0.4,1.9,2.3,0.7,0.1,0.8,1.3,0.533,1.5,3.1,0.478,0.665,13.5,0.689,13.5,0.1,0.1,0.1,0.9,11000000.0,14.0,3.666666666666667,3.166666666666666,0.6666666666666666,1.1666666666666663,0.1666666666666666,1.3333333333333333,2.1666666666666665,31.600000000000005,33.674853500000005,True,0.0101533503572442,10.15335035724421,253.0,298.0,1628379.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1628379.png
Brook Lopez,LAC,C,75.0,21.8,8.5,1.3,0.6,3.0,3.6,0.6,1.2,0.8,2.1,0.428,1.5,4.2,0.36,0.533,12.3,0.552,17.2,-1.3,0.4,-0.9,0.5,8750000.0,14.03669724770642,2.146788990825688,4.954128440366973,0.9908256880733944,0.9908256880733944,1.9816513761467889,1.3211009174311927,3.467889908256881,32.829357798165134,33.476564609174304,False,0.011317144405255,11.317144405255096,254.0,261.0,201572.0,https://cdn.nba.com/headshots/nba/latest/1040x760/201572.png
Tristan Da Silva,ORL,SF,77.0,24.7,9.9,1.6,0.8,2.9,3.7,0.9,0.3,0.9,1.5,0.45,1.6,4.2,0.374,0.547,12.0,0.576,16.2,-0.7,0.1,-0.6,0.7,3809520.0,14.429149797570853,2.331983805668016,4.226720647773279,1.165991902834008,1.3117408906882593,0.437246963562753,1.3117408906882593,2.1862348178137654,32.400000000000006,33.33150720000001,False,0.0170773242003456,17.077324200345632,255.0,135.0,1641783.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1641783.png
Blake Wesley,POR,SG,31.0,11.6,4.8,2.0,0.3,1.0,1.3,0.5,0.2,1.0,1.1,0.452,0.3,1.2,0.278,0.492,10.8,0.511,19.8,-3.7,0.1,-3.6,-0.1,5643732.0,14.89655172413793,6.206896551724139,3.1034482758620694,0.9310344827586208,1.5517241379310347,0.6206896551724138,3.1034482758620694,3.413793103448276,35.82931034482759,33.19110524482759,False,0.0139713548489276,13.971354848927689,256.0,192.0,1631104.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1631104.png
Kasparas Jakučionis,MIA,PG,53.0,17.8,6.2,2.6,0.8,1.8,2.6,0.6,0.1,0.9,1.9,0.429,1.2,2.9,0.423,0.567,11.9,0.614,13.7,-1.0,0.6,-0.4,0.4,3658800.0,12.53932584269663,5.258426966292134,3.640449438202247,1.6179775280898876,1.2134831460674156,0.2022471910112359,1.820224719101124,3.842696629213483,32.42022471910113,33.110695553932594,False,0.017310075768073,17.310075768073006,257.0,128.0,1642857.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1642857.png
Cason Wallace,OKC,SG,77.0,26.6,8.6,2.6,0.8,2.3,3.1,1.9,0.4,0.9,2.0,0.432,1.3,3.7,0.351,0.518,12.1,0.538,14.5,-2.1,3.3,1.2,1.7,5820240.0,11.6390977443609,3.518796992481203,3.1127819548872178,1.0827067669172932,2.571428571428571,0.5413533834586466,1.218045112781955,2.706766917293233,30.34285714285714,33.03273728571428,False,0.0136922278232321,13.6922278232321,258.0,196.0,1641717.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1641717.png
Sam Hauser,BOS,PF,78.0,24.8,9.2,1.5,0.7,3.1,3.8,0.5,0.3,0.4,1.4,0.419,2.5,6.5,0.393,0.584,11.9,0.59,14.5,0.6,0.0,0.6,1.3,10044644.0,13.354838709677418,2.177419354838709,4.5,1.0161290322580645,0.7258064516129032,0.4354838709677419,0.5806451612903225,2.032258064516129,30.810483870967737,33.012611945564515,False,0.0104162792004143,10.41627920041438,259.0,291.0,1630573.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1630573.png
Khris Middleton,2TM,SF,63.0,22.8,10.2,2.8,0.8,2.9,3.7,0.7,0.1,1.7,2.3,0.42,1.1,3.0,0.36,0.482,10.9,0.533,20.6,-2.8,-1.5,-4.4,-0.9,33296296.0,16.105263157894736,4.421052631578947,4.578947368421052,1.263157894736842,1.1052631578947367,0.1578947368421052,2.6842105263157894,3.631578947368421,35.992105263157896,32.82141795789474,True,0.0056879972499843,5.687997249984328,260.0,380.0,203114.0,https://cdn.nba.com/headshots/nba/latest/1040x760/203114.png
Oso Ighodaro,PHO,PF,82.0,22.0,6.5,2.3,1.7,3.4,5.1,0.9,0.7,1.2,2.7,0.653,0.0,0.0,0.0,0.653,13.8,0.636,12.2,-2.2,2.3,0.1,0.9,1955377.0,10.636363636363637,3.7636363636363632,5.563636363636364,2.7818181818181817,1.4727272727272729,1.1454545454545453,1.963636363636364,4.418181818181819,31.680000000000003,32.75974464,False,0.0234274627785665,23.42746277856657,261.0,65.0,1642345.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1642345.png
Ziaire Williams,BRK,SF,56.0,22.9,10.2,1.1,0.5,1.9,2.4,1.4,0.4,1.1,2.1,0.425,1.5,4.5,0.343,0.524,12.4,0.579,18.9,-2.0,0.4,-1.7,0.1,6250000.0,16.034934497816593,1.7292576419213976,2.986899563318777,0.7860262008733625,2.200873362445414,0.6288209606986901,1.7292576419213976,3.3013100436681224,32.10131004366813,32.445819571179044,False,0.0129783278284716,12.978327828471617,262.0,213.0,1630533.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1630533.png
Cameron Johnson,DEN,SF,54.0,30.5,12.2,2.4,0.8,3.0,3.8,0.7,0.4,0.9,2.3,0.48,2.0,4.7,0.43,0.596,12.8,0.629,15.1,0.3,-0.9,-0.6,0.6,21057065.0,14.4,2.832786885245901,3.540983606557377,0.9442622950819672,0.8262295081967213,0.4721311475409836,1.0622950819672132,2.7147540983606557,31.50295081967212,32.43980124885245,False,0.0070693464508007,7.069346450800761,263.0,366.0,1629661.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1629661.png
Toumani Camara,POR,PF,82.0,33.3,13.4,2.5,1.6,3.6,5.1,1.1,0.4,1.8,2.9,0.44,2.7,7.2,0.37,0.563,11.3,0.578,16.3,-1.0,0.0,-1.0,0.7,2221677.0,14.486486486486488,2.702702702702702,3.891891891891892,1.72972972972973,1.1891891891891897,0.4324324324324325,1.945945945945946,3.1351351351351355,31.935135135135138,32.289879881081085,False,0.0216633676364725,21.66336763647254,264.0,75.0,1641739.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1641739.png
Jevon Carter,2TM,PG,53.0,16.4,6.4,1.6,0.3,1.4,1.7,0.8,0.2,0.7,1.1,0.401,1.5,4.1,0.363,0.528,10.7,0.537,17.0,-1.4,0.4,-1.1,0.2,7680524.0,14.04878048780488,3.51219512195122,3.073170731707317,0.6585365853658538,1.75609756097561,0.4390243902439025,1.5365853658536586,2.414634146341464,32.015853658536585,32.2746445792683,True,0.0116457119280664,11.64571192806642,265.0,252.0,1628975.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1628975.png
Zaccharie Risacher,ATL,SF,67.0,22.4,9.6,1.1,1.1,2.8,3.8,0.9,0.5,0.9,2.2,0.455,1.4,3.9,0.368,0.544,11.8,0.557,17.6,-2.3,-0.2,-2.5,-0.2,13197720.0,15.42857142857143,1.767857142857143,4.5,1.767857142857143,1.4464285714285716,0.8035714285714286,1.4464285714285716,3.535714285714286,33.73392857142857,32.21949288482143,False,0.0088688895318621,8.868889531862177,266.0,337.0,1642258.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1642258.png
Tre Johnson,WAS,SG,60.0,24.1,12.2,2.0,0.5,2.4,2.8,0.6,0.3,1.6,2.0,0.419,1.9,5.4,0.358,0.508,10.6,0.535,22.5,-2.1,-2.9,-5.0,-1.1,8237640.0,18.224066390041493,2.987551867219917,3.5850622406639,0.7468879668049793,0.896265560165975,0.4481327800829875,2.3900414937759336,2.987551867219917,35.738589211618255,32.215624092323644,False,0.0112244519407815,11.22445194078156,267.0,266.0,1642848.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1642848.png
Yves Missi,NOP,C,66.0,19.7,5.7,1.3,2.8,3.1,5.8,0.3,1.5,0.8,1.7,0.544,0.0,0.0,0.0,0.544,15.0,0.556,12.6,-1.4,-0.3,-1.7,0.1,3353040.0,10.416243654822336,2.375634517766497,5.66497461928934,5.116751269035533,0.5482233502538071,2.741116751269036,1.4619289340101524,3.1065989847715736,34.2274111675127,32.158785478172604,False,0.0175622547064052,17.56225470640528,268.0,123.0,1642274.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1642274.png
Kentavious Caldwell-Pope,MEM,SG,51.0,21.3,8.4,2.7,0.4,2.1,2.5,0.8,0.2,1.2,1.1,0.41,1.1,3.4,0.316,0.485,11.0,0.533,17.7,-2.3,-0.2,-2.5,-0.1,21621500.0,14.19718309859155,4.563380281690141,3.5492957746478875,0.676056338028169,1.352112676056338,0.3380281690140845,2.028169014084507,1.859154929577465,33.726760563380296,32.03907608661973,False,0.0068902832227645,6.890283222764569,269.0,370.0,203484.0,https://cdn.nba.com/headshots/nba/latest/1040x760/203484.png
Noah Clowney,BRK,PF,66.0,27.0,12.3,1.6,0.8,3.3,4.1,0.8,0.7,1.5,2.5,0.396,2.0,5.9,0.329,0.498,11.2,0.554,20.4,-2.3,-1.1,-3.4,-0.6,3398640.0,16.400000000000002,2.1333333333333333,4.4,1.0666666666666669,1.0666666666666669,0.9333333333333332,2.0,3.333333333333333,33.92666666666667,32.03541687333333,False,0.0173771198934498,17.37711989344987,270.0,127.0,1641730.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1641730.png
